prices,time,station,address,gratis,fuel,chain
Unknown,Unknown,amiGo Zutphen,"Den Elterweg 106, Zutphen",,Aardgas,amiGo
Unknown,Unknown,amiGo Doorn,"Driebergsestraatweg 47, Doorn",,Aardgas,amiGo
Unknown,Unknown,amiGo Amersfoort,"Nijverheidsweg Noord 42, Amersfoort",,Aardgas,amiGo
Unknown,Unknown,amiGo Dodewaard,"Dalwagen 98, Dodewaard",,Aardgas,amiGo
Unknown,Unknown,amiGo Stroe,"Wolweg 26, Stroe",,Aardgas,amiGo
Unknown,Unknown,amiGo Valburg,"Kerkstraat 8, Valburg",,Aardgas,amiGo
Unknown,Unknown,amiGo Nieuwveen,"Schoterhoek 5, Nieuwveen",,Aardgas,amiGo
Unknown,Unknown,amiGo Berg en Dal,"Oude Kleefsebaan 417 A, Berg en Dal",,Aardgas,amiGo
Unknown,Unknown,amiGo Berg en Dal,"Oude Kleefsebaan 147, Berg en Dal",,Aardgas,amiGo
Unknown,Unknown,amiGo Apeldoorn,"Anklaarseweg 121 C, Apeldoorn",,Aardgas,amiGo
Unknown,Unknown,amiGo Lathum,"Koestraat 5, Lathum",,Aardgas,amiGo
Unknown,Unknown,amiGo Hoofddorp,"Hoofdweg 662, Hoofddorp",,Aardgas,amiGo
Unknown,Unknown,amiGo De Steeg,"Hoofdstraat 44, De Steeg",,Aardgas,amiGo
Unknown,Unknown,amiGo Zevenbergschen Hoek,"Eerste Weg 2, Zevenbergschen Hoek",,Aardgas,amiGo
Unknown,Unknown,amiGo Santpoort Zuid,"Willem de Zwijgerlaan 57, Santpoort Zuid",,Aardgas,amiGo
Unknown,Unknown,amiGo Olst,"Rijksstraatweg 14, Olst",,Aardgas,amiGo
Unknown,Unknown,amiGo Zwolle,"Loggerweg 1-3, Zwolle",,Aardgas,amiGo
Unknown,Unknown,amiGo Oudega,"Galamawei 45, Oudega",,Aardgas,amiGo
Unknown,Unknown,amiGo Zwolle Zuid,"Marconistraat 17, Zwolle Zuid",,Aardgas,amiGo
